"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|FR","Generation - Solar  [MW] Intraday / BZN|FR","Generation - Solar  [MW] Current / BZN|FR","Generation - Wind Offshore  [MW] Day Ahead/ BZN|FR","Generation - Wind Offshore  [MW] Intraday / BZN|FR","Generation - Wind Offshore  [MW] Current / BZN|FR","Generation - Wind Onshore  [MW] Day Ahead/ BZN|FR","Generation - Wind Onshore  [MW] Intraday / BZN|FR","Generation - Wind Onshore  [MW] Current / BZN|FR"
"03.03.2020 06:00 - 03.03.2020 07:00","0","0","0","n/e","n/e","n/e","4739","3591","3591"
"03.03.2020 07:00 - 03.03.2020 08:00","390","376","376","n/e","n/e","n/e","4177","3286","3286"
"03.03.2020 08:00 - 03.03.2020 09:00","1629","1484","1484","n/e","n/e","n/e","3616","2989","2989"
"03.03.2020 09:00 - 03.03.2020 10:00","2803","2481","2538","n/e","n/e","n/e","3058","2698","2849"
"03.03.2020 10:00 - 03.03.2020 11:00","3557","3082","3045","n/e","n/e","n/e","2795","2393","2499"
"03.03.2020 11:00 - 03.03.2020 12:00","3861","3490","3160","n/e","n/e","n/e","2533","2094","2179"
"03.03.2020 12:00 - 03.03.2020 13:00","3686","3425","3117","n/e","n/e","n/e","2279","1812","1888"
"03.03.2020 13:00 - 03.03.2020 14:00","3275","3058","2805","n/e","n/e","n/e","2157","1778","1837"
"03.03.2020 14:00 - 03.03.2020 15:00","2547","2514","2400","n/e","n/e","n/e","2036","1747","1795"
"03.03.2020 15:00 - 03.03.2020 16:00","1810","1822","1895","n/e","n/e","n/e","1919","1720","1761"
"03.03.2020 16:00 - 03.03.2020 17:00","908","919","948","n/e","n/e","n/e","1881","1832","1864"
"03.03.2020 17:00 - 03.03.2020 18:00","113","120","128","n/e","n/e","n/e","1845","1951","1980"
"03.03.2020 18:00 - 03.03.2020 19:00","0","0","0","n/e","n/e","n/e","1809","2073","2099"
"03.03.2020 19:00 - 03.03.2020 20:00","0","0","0","n/e","n/e","n/e","2152","2748","2775"
"03.03.2020 20:00 - 03.03.2020 21:00","0","0","0","n/e","n/e","n/e","2503","3427","3451"
"03.03.2020 21:00 - 03.03.2020 22:00","0","0","0","n/e","n/e","n/e","2852","4106","4128"
"03.03.2020 22:00 - 03.03.2020 23:00","0","0","0","n/e","n/e","n/e","2899","4104","4126"
"03.03.2020 23:00 - 04.03.2020 00:00","0","N/A","0","n/e","n/e","n/e","4457","N/A","4258"
"04.03.2020 00:00 - 04.03.2020 01:00","0","N/A","0","n/e","n/e","n/e","4635","N/A","4469"
"04.03.2020 01:00 - 04.03.2020 02:00","0","N/A","0","n/e","n/e","n/e","4292","N/A","4169"
"04.03.2020 02:00 - 04.03.2020 03:00","0","N/A","0","n/e","n/e","n/e","3948","N/A","3869"
"04.03.2020 03:00 - 04.03.2020 04:00","0","N/A","0","n/e","n/e","n/e","3605","N/A","3568"
"04.03.2020 04:00 - 04.03.2020 05:00","0","N/A","0","n/e","n/e","n/e","3388","N/A","3423"
"04.03.2020 05:00 - 04.03.2020 06:00","0","N/A","0","n/e","n/e","n/e","3171","N/A","3279"
"04.03.2020 06:00 - 04.03.2020 07:00","0","0","0","n/e","n/e","n/e","2953","2848","2848"
"04.03.2020 07:00 - 04.03.2020 08:00","337","338","338","n/e","n/e","n/e","3018","2918","2918"
"04.03.2020 08:00 - 04.03.2020 09:00","1367","1350","1350","n/e","n/e","n/e","3082","2964","2964"
"04.03.2020 09:00 - 04.03.2020 10:00","2361","2375","2492","n/e","n/e","n/e","3147","3004","2850"
"04.03.2020 10:00 - 04.03.2020 11:00","2953","3176","3109","n/e","n/e","n/e","3678","3236","3132"
"04.03.2020 11:00 - 04.03.2020 12:00","3316","3506","3361","n/e","n/e","n/e","4210","3466","3389"
"04.03.2020 12:00 - 04.03.2020 13:00","3442","3575","3443","n/e","n/e","n/e","4742","3693","3634"
"04.03.2020 13:00 - 04.03.2020 14:00","3249","3231","3200","n/e","n/e","n/e","5054","3968","3918"
"04.03.2020 14:00 - 04.03.2020 15:00","2668","2563","2611","n/e","n/e","n/e","5367","4241","4202"
"04.03.2020 15:00 - 04.03.2020 16:00","1906","1746","1791","n/e","n/e","n/e","5680","4513","4482"
"04.03.2020 16:00 - 04.03.2020 17:00","847","785","816","n/e","n/e","n/e","6124","4669","4644"
"04.03.2020 17:00 - 04.03.2020 18:00","98","99","98","n/e","n/e","n/e","6569","4827","4805"
"04.03.2020 18:00 - 04.03.2020 19:00","0","0","0","n/e","n/e","n/e","7012","4986","4964"
"04.03.2020 19:00 - 04.03.2020 20:00","0","0","0","n/e","n/e","n/e","7186","5080","5060"
"04.03.2020 20:00 - 04.03.2020 21:00","0","0","0","n/e","n/e","n/e","7359","5173","5154"
"04.03.2020 21:00 - 04.03.2020 22:00","0","0","0","n/e","n/e","n/e","7533","5266","5249"
"04.03.2020 22:00 - 04.03.2020 23:00","0","0","0","n/e","n/e","n/e","7257","4903","4887"
"04.03.2020 23:00 - 05.03.2020 00:00","0","N/A","0","n/e","n/e","n/e","5574","N/A","4907"
"05.03.2020 00:00 - 05.03.2020 01:00","0","N/A","0","n/e","n/e","n/e","5343","N/A","4642"
"05.03.2020 01:00 - 05.03.2020 02:00","0","N/A","0","n/e","n/e","n/e","5082","N/A","4421"
"05.03.2020 02:00 - 05.03.2020 03:00","0","N/A","0","n/e","n/e","n/e","4822","N/A","4200"
"05.03.2020 03:00 - 05.03.2020 04:00","0","N/A","0","n/e","n/e","n/e","4564","N/A","3980"
"05.03.2020 04:00 - 05.03.2020 05:00","0","N/A","0","n/e","n/e","n/e","4530","N/A","4249"
"05.03.2020 05:00 - 05.03.2020 06:00","0","N/A","0","n/e","n/e","n/e","4497","N/A","4520"
"05.03.2020 06:00 - 05.03.2020 07:00","0","0","0","n/e","n/e","n/e","4464","5462","5462"
"05.03.2020 07:00 - 05.03.2020 08:00","258","245","245","n/e","n/e","n/e","4762","5956","5956"
"05.03.2020 08:00 - 05.03.2020 09:00","1086","960","960","n/e","n/e","n/e","5061","6435","6435"
"05.03.2020 09:00 - 05.03.2020 10:00","1978","1812","1670","n/e","n/e","n/e","5360","6908","7016"
"05.03.2020 10:00 - 05.03.2020 11:00","2507","2328","2177","n/e","n/e","n/e","5869","7851","7942"
"05.03.2020 11:00 - 05.03.2020 12:00","2774","2597","2569","n/e","n/e","n/e","6377","8792","8868"
"05.03.2020 12:00 - 05.03.2020 13:00","2900","2802","2768","n/e","n/e","n/e","6886","9727","9765"
"05.03.2020 13:00 - 05.03.2020 14:00","2645","2686","2676","n/e","n/e","n/e","7730","9916","9958"
"05.03.2020 14:00 - 05.03.2020 15:00","2319","2299","2323","n/e","n/e","n/e","8576","10102","10146"
"05.03.2020 15:00 - 05.03.2020 16:00","1658","1677","1681","n/e","n/e","n/e","9422","10287","10329"
"05.03.2020 16:00 - 05.03.2020 17:00","767","780","839","n/e","n/e","n/e","9552","10202","10241"
"05.03.2020 17:00 - 05.03.2020 18:00","107","114","123","n/e","n/e","n/e","9682","10113","10147"
"05.03.2020 18:00 - 05.03.2020 19:00","0","0","0","n/e","n/e","n/e","9810","10022","10053"
"05.03.2020 19:00 - 05.03.2020 20:00","0","0","0","n/e","n/e","n/e","9796","10406","10437"
"05.03.2020 20:00 - 05.03.2020 21:00","0","0","0","n/e","n/e","n/e","9783","10791","10819"
"05.03.2020 21:00 - 05.03.2020 22:00","0","0","0","n/e","n/e","n/e","9769","11174","11201"
"05.03.2020 22:00 - 05.03.2020 23:00","0","0","0","n/e","n/e","n/e","9671","11083","11110"
"05.03.2020 23:00 - 06.03.2020 00:00","0","N/A","0","n/e","n/e","n/e","11618","N/A","11323"
"06.03.2020 00:00 - 06.03.2020 01:00","0","N/A","0","n/e","n/e","n/e","11537","N/A","11379"
"06.03.2020 01:00 - 06.03.2020 02:00","0","N/A","0","n/e","n/e","n/e","10869","N/A","10690"
"06.03.2020 02:00 - 06.03.2020 03:00","0","N/A","0","n/e","n/e","n/e","10201","N/A","9991"
"06.03.2020 03:00 - 06.03.2020 04:00","0","N/A","0","n/e","n/e","n/e","9533","N/A","9283"
"06.03.2020 04:00 - 06.03.2020 05:00","0","N/A","0","n/e","n/e","n/e","8621","N/A","8488"
"06.03.2020 05:00 - 06.03.2020 06:00","0","N/A","0","n/e","n/e","n/e","7707","N/A","7691"
"06.03.2020 06:00 - 06.03.2020 07:00","0","0","0","n/e","n/e","n/e","6793","7363","7363"
"06.03.2020 07:00 - 06.03.2020 08:00","382","410","410","n/e","n/e","n/e","6191","7005","7005"
"06.03.2020 08:00 - 06.03.2020 09:00","1559","1592","1592","n/e","n/e","n/e","5590","6655","6655"
"06.03.2020 09:00 - 06.03.2020 10:00","2796","2700","2629","n/e","n/e","n/e","4993","6310","6394"
"06.03.2020 10:00 - 06.03.2020 11:00","3745","3445","3333","n/e","n/e","n/e","4986","6114","6175"
"06.03.2020 11:00 - 06.03.2020 12:00","4257","3779","3710","n/e","n/e","n/e","4983","5921","5970"
"06.03.2020 12:00 - 06.03.2020 13:00","4272","3902","3864","n/e","n/e","n/e","4980","5730","5771"
"06.03.2020 13:00 - 06.03.2020 14:00","3881","3567","3689","n/e","n/e","n/e","5032","5723","5758"
"06.03.2020 14:00 - 06.03.2020 15:00","3239","3107","3150","n/e","n/e","n/e","5087","5718","5745"
"06.03.2020 15:00 - 06.03.2020 16:00","2229","2268","2333","n/e","n/e","n/e","5144","5713","5737"
"06.03.2020 16:00 - 06.03.2020 17:00","1113","1211","1198","n/e","n/e","n/e","4760","5296","5315"
"06.03.2020 17:00 - 06.03.2020 18:00","173","185","185","n/e","n/e","n/e","4379","4877","4895"
"06.03.2020 18:00 - 06.03.2020 19:00","0","0","0","n/e","n/e","n/e","3996","4458","4475"
"06.03.2020 19:00 - 06.03.2020 20:00","0","0","0","n/e","n/e","n/e","4051","4498","4515"
"06.03.2020 20:00 - 06.03.2020 21:00","0","0","0","n/e","n/e","n/e","4106","4537","4554"
"06.03.2020 21:00 - 06.03.2020 22:00","0","0","0","n/e","n/e","n/e","4161","4576","4591"
"06.03.2020 22:00 - 06.03.2020 23:00","0","0","0","n/e","n/e","n/e","4092","4388","4401"
"06.03.2020 23:00 - 07.03.2020 00:00","0","N/A","0","n/e","n/e","n/e","4354","N/A","4144"
"07.03.2020 00:00 - 07.03.2020 01:00","0","N/A","0","n/e","n/e","n/e","4156","N/A","4076"
"07.03.2020 01:00 - 07.03.2020 02:00","0","N/A","0","n/e","n/e","n/e","3904","N/A","3769"
"07.03.2020 02:00 - 07.03.2020 03:00","0","N/A","0","n/e","n/e","n/e","3654","N/A","3462"
"07.03.2020 03:00 - 07.03.2020 04:00","0","N/A","0","n/e","n/e","n/e","3403","N/A","3155"
"07.03.2020 04:00 - 07.03.2020 05:00","0","N/A","0","n/e","n/e","n/e","3121","N/A","2970"
"07.03.2020 05:00 - 07.03.2020 06:00","0","N/A","0","n/e","n/e","n/e","2840","N/A","2787"
"07.03.2020 06:00 - 07.03.2020 07:00","0","0","0","n/e","n/e","n/e","2561","2529","2529"
"07.03.2020 07:00 - 07.03.2020 08:00","522","521","521","n/e","n/e","n/e","2576","2573","2573"
"07.03.2020 08:00 - 07.03.2020 09:00","1921","1918","1918","n/e","n/e","n/e","2591","2608","2608"
"07.03.2020 09:00 - 07.03.2020 10:00","3150","3242","3569","n/e","n/e","n/e","2607","2639","2520"
"07.03.2020 10:00 - 07.03.2020 11:00","4080","4090","4496","n/e","n/e","n/e","2724","2787","2700"
"07.03.2020 11:00 - 07.03.2020 12:00","4630","4498","4912","n/e","n/e","n/e","2842","2934","2866"
"07.03.2020 12:00 - 07.03.2020 13:00","4739","4616","4873","n/e","n/e","n/e","2961","3080","3027"
"07.03.2020 13:00 - 07.03.2020 14:00","4259","4339","4392","n/e","n/e","n/e","3180","3294","3251"
"07.03.2020 14:00 - 07.03.2020 15:00","3458","3638","3723","n/e","n/e","n/e","3399","3508","3473"
"07.03.2020 15:00 - 07.03.2020 16:00","2525","2532","2646","n/e","n/e","n/e","3619","3723","3693"
"07.03.2020 16:00 - 07.03.2020 17:00","1241","1199","1310","n/e","n/e","n/e","3701","3769","3742"
"07.03.2020 17:00 - 07.03.2020 18:00","188","181","193","n/e","n/e","n/e","3783","3815","3791"
"07.03.2020 18:00 - 07.03.2020 19:00","0","0","0","n/e","n/e","n/e","3867","3860","3839"
"07.03.2020 19:00 - 07.03.2020 20:00","0","0","0","n/e","n/e","n/e","4526","4510","4491"
"07.03.2020 20:00 - 07.03.2020 21:00","0","0","0","n/e","n/e","n/e","5184","5160","5141"
"07.03.2020 21:00 - 07.03.2020 22:00","0","0","0","n/e","n/e","n/e","5843","5809","5791"
"07.03.2020 22:00 - 07.03.2020 23:00","0","0","0","n/e","n/e","n/e","6148","6189","6172"
"07.03.2020 23:00 - 08.03.2020 00:00","0","N/A","0","n/e","n/e","n/e","6114","N/A","6152"
"08.03.2020 00:00 - 08.03.2020 01:00","0","N/A","0","n/e","n/e","n/e","6600","N/A","6524"
"08.03.2020 01:00 - 08.03.2020 02:00","0","N/A","0","n/e","n/e","n/e","6965","N/A","6871"
"08.03.2020 02:00 - 08.03.2020 03:00","0","N/A","0","n/e","n/e","n/e","7331","N/A","7218"
"08.03.2020 03:00 - 08.03.2020 04:00","0","N/A","0","n/e","n/e","n/e","7695","N/A","7561"
"08.03.2020 04:00 - 08.03.2020 05:00","0","N/A","0","n/e","n/e","n/e","7982","N/A","7989"
"08.03.2020 05:00 - 08.03.2020 06:00","0","N/A","0","n/e","n/e","n/e","8268","N/A","8416"
"08.03.2020 06:00 - 08.03.2020 07:00","0","0","0","n/e","n/e","n/e","8555","8862","8862"
"08.03.2020 07:00 - 08.03.2020 08:00","530","517","517","n/e","n/e","n/e","8567","8822","8822"
"08.03.2020 08:00 - 08.03.2020 09:00","1953","1947","1947","n/e","n/e","n/e","8580","8779","8779"
"08.03.2020 09:00 - 08.03.2020 10:00","3293","3355","3312","n/e","n/e","n/e","8595","8738","8892"
"08.03.2020 10:00 - 08.03.2020 11:00","4283","4264","4253","n/e","n/e","n/e","8811","9030","9134"
"08.03.2020 11:00 - 08.03.2020 12:00","4722","4723","4735","n/e","n/e","n/e","9027","9321","9404"
"08.03.2020 12:00 - 08.03.2020 13:00","4743","4839","4889","n/e","n/e","n/e","9243","9613","9680"
"08.03.2020 13:00 - 08.03.2020 14:00","4182","4359","4471","n/e","n/e","n/e","8691","9258","9310"
"08.03.2020 14:00 - 08.03.2020 15:00","3527","3488","3651","n/e","n/e","n/e","8141","8905","8948"
"08.03.2020 15:00 - 08.03.2020 16:00","2364","2320","2381","n/e","n/e","n/e","7593","8553","8588"
"08.03.2020 16:00 - 08.03.2020 17:00","1140","1133","1115","n/e","n/e","n/e","7114","7751","7778"
"08.03.2020 17:00 - 08.03.2020 18:00","183","167","176","n/e","n/e","n/e","6636","6949","6974"
"08.03.2020 18:00 - 08.03.2020 19:00","0","0","0","n/e","n/e","n/e","6158","6146","6169"
"08.03.2020 19:00 - 08.03.2020 20:00","0","0","0","n/e","n/e","n/e","6188","6129","6152"
"08.03.2020 20:00 - 08.03.2020 21:00","0","0","0","n/e","n/e","n/e","6219","6113","6134"
"08.03.2020 21:00 - 08.03.2020 22:00","0","0","0","n/e","n/e","n/e","6249","6097","6115"
"08.03.2020 22:00 - 08.03.2020 23:00","0","0","0","n/e","n/e","n/e","6209","6066","6083"
"08.03.2020 23:00 - 09.03.2020 00:00","0","N/A","0","n/e","n/e","n/e","6500","N/A","6656"
"09.03.2020 00:00 - 09.03.2020 01:00","0","N/A","0","n/e","n/e","n/e","6431","N/A","6726"
"09.03.2020 01:00 - 09.03.2020 02:00","0","N/A","0","n/e","n/e","n/e","6332","N/A","6615"
"09.03.2020 02:00 - 09.03.2020 03:00","0","N/A","0","n/e","n/e","n/e","6235","N/A","6500"
"09.03.2020 03:00 - 09.03.2020 04:00","0","N/A","0","n/e","n/e","n/e","6138","N/A","6381"
"09.03.2020 04:00 - 09.03.2020 05:00","0","N/A","0","n/e","n/e","n/e","5837","N/A","6153"
"09.03.2020 05:00 - 09.03.2020 06:00","0","N/A","0","n/e","n/e","n/e","5536","N/A","5924"
"09.03.2020 06:00 - 09.03.2020 07:00","0","0","0","n/e","n/e","n/e","5236","5770","5770"
"09.03.2020 07:00 - 09.03.2020 08:00","526","541","541","n/e","n/e","n/e","5264","5644","5644"
"09.03.2020 08:00 - 09.03.2020 09:00","1852","1970","1970","n/e","n/e","n/e","5291","5547","5547"
"09.03.2020 09:00 - 09.03.2020 10:00","3099","3209","3198","n/e","n/e","n/e","5319","5460","5510"
"09.03.2020 10:00 - 09.03.2020 11:00","3900","4072","4106","n/e","n/e","n/e","5474","5698","5726"
"09.03.2020 11:00 - 09.03.2020 12:00","4386","4560","4430","n/e","n/e","n/e","5629","5943","5960"
"09.03.2020 12:00 - 09.03.2020 13:00","4427","4589","4373","n/e","n/e","n/e","5784","6192","6201"
"09.03.2020 13:00 - 09.03.2020 14:00","4208","4279","4039","n/e","n/e","n/e","5866","6174","6180"
"09.03.2020 14:00 - 09.03.2020 15:00","3472","3563","3484","n/e","n/e","n/e","5948","6159","6163"
"09.03.2020 15:00 - 09.03.2020 16:00","2518","2540","2608","n/e","n/e","n/e","6030","6148","6149"
"09.03.2020 16:00 - 09.03.2020 17:00","1255","1259","1308","n/e","n/e","n/e","5613","5691","5689"
"09.03.2020 17:00 - 09.03.2020 18:00","203","202","216","n/e","n/e","n/e","5197","5235","5230"
"09.03.2020 18:00 - 09.03.2020 19:00","0","0","0","n/e","n/e","n/e","4782","4778","4773"
"09.03.2020 19:00 - 09.03.2020 20:00","0","0","0","n/e","n/e","n/e","5607","5476","5472"
"09.03.2020 20:00 - 09.03.2020 21:00","0","0","0","n/e","n/e","n/e","6433","6175","6171"
"09.03.2020 21:00 - 09.03.2020 22:00","0","0","0","n/e","n/e","n/e","7259","6874","6869"
"09.03.2020 22:00 - 09.03.2020 23:00","0","0","0","n/e","n/e","n/e","8039","7812","7807"
"09.03.2020 23:00 - 10.03.2020 00:00","0","N/A","0","n/e","n/e","n/e","9464","N/A","9540"
"10.03.2020 00:00 - 10.03.2020 01:00","0","N/A","0","n/e","n/e","n/e","10455","N/A","10462"
"10.03.2020 01:00 - 10.03.2020 02:00","0","N/A","0","n/e","n/e","n/e","10827","N/A","10795"
"10.03.2020 02:00 - 10.03.2020 03:00","0","N/A","0","n/e","n/e","n/e","11199","N/A","11127"
"10.03.2020 03:00 - 10.03.2020 04:00","0","N/A","0","n/e","n/e","n/e","11569","N/A","11458"
"10.03.2020 04:00 - 10.03.2020 05:00","0","N/A","0","n/e","n/e","n/e","11451","N/A","11326"
"10.03.2020 05:00 - 10.03.2020 06:00","0","N/A","0","n/e","n/e","n/e","11332","N/A","11194"
"10.03.2020 06:00 - 10.03.2020 07:00","1","1","1","n/e","n/e","n/e","11213","11163","11163"
"10.03.2020 07:00 - 10.03.2020 08:00","441","398","398","n/e","n/e","n/e","11264","11218","11218"
"10.03.2020 08:00 - 10.03.2020 09:00","1487","1347","1347","n/e","n/e","n/e","11313","11260","11260"
"10.03.2020 09:00 - 10.03.2020 10:00","2435","2244","2434","n/e","n/e","n/e","11363","11296","11067"
"10.03.2020 10:00 - 10.03.2020 11:00","3109","2959","3024","n/e","n/e","n/e","11651","11420","11253"
"10.03.2020 11:00 - 10.03.2020 12:00","3536","3571","3454","n/e","n/e","n/e","11940","11541","11411"
"10.03.2020 12:00 - 10.03.2020 13:00","3866","3806","3551","n/e","n/e","n/e","12229","11660","11556"
"10.03.2020 13:00 - 10.03.2020 14:00","3631","3579","3469","n/e","n/e","n/e","12052","11516","11429"
"10.03.2020 14:00 - 10.03.2020 15:00","3131","3102","3041","n/e","n/e","n/e","11875","11371","11298"
"10.03.2020 15:00 - 10.03.2020 16:00","2373","2359","2322","n/e","n/e","n/e","11698","11224","11161"
"10.03.2020 16:00 - 10.03.2020 17:00","1299","1298","1244","n/e","n/e","n/e","11394","10963","10908"
"10.03.2020 17:00 - 10.03.2020 18:00","236","242","240","n/e","n/e","n/e","11090","10703","10654"
"10.03.2020 18:00 - 10.03.2020 19:00","0","0","0","n/e","n/e","n/e","10785","10441","10395"
"10.03.2020 19:00 - 10.03.2020 20:00","0","0","0","n/e","n/e","n/e","10330","10238","10196"
"10.03.2020 20:00 - 10.03.2020 21:00","0","0","0","n/e","n/e","n/e","9875","10035","9995"
"10.03.2020 21:00 - 10.03.2020 22:00","0","0","0","n/e","n/e","n/e","9418","9831","9793"
"10.03.2020 22:00 - 10.03.2020 23:00","0","0","0","n/e","n/e","n/e","9719","9868","9831"
"10.03.2020 23:00 - 11.03.2020 00:00","0","N/A","0","n/e","n/e","n/e","9703","N/A","9767"
"11.03.2020 00:00 - 11.03.2020 01:00","0","N/A","0","n/e","n/e","n/e","9588","N/A","9631"
"11.03.2020 01:00 - 11.03.2020 02:00","0","N/A","0","n/e","n/e","n/e","9602","N/A","9728"
"11.03.2020 02:00 - 11.03.2020 03:00","0","N/A","0","n/e","n/e","n/e","9616","N/A","9824"
"11.03.2020 03:00 - 11.03.2020 04:00","0","N/A","0","n/e","n/e","n/e","9628","N/A","9919"
"11.03.2020 04:00 - 11.03.2020 05:00","0","N/A","0","n/e","n/e","n/e","9300","N/A","9648"
"11.03.2020 05:00 - 11.03.2020 06:00","0","N/A","0","n/e","n/e","n/e","8970","N/A","9377"
"11.03.2020 06:00 - 11.03.2020 07:00","3","3","3","n/e","n/e","n/e","8641","9508","9508"
"11.03.2020 07:00 - 11.03.2020 08:00","622","617","617","n/e","n/e","n/e","8644","9299","9299"
"11.03.2020 08:00 - 11.03.2020 09:00","2022","2035","2035","n/e","n/e","n/e","8647","9102","9102"
"11.03.2020 09:00 - 11.03.2020 10:00","3213","3300","3354","n/e","n/e","n/e","8650","8908","8822"
"11.03.2020 10:00 - 11.03.2020 11:00","3903","4129","4208","n/e","n/e","n/e","8495","8871","8797"
"11.03.2020 11:00 - 11.03.2020 12:00","4298","4551","4655","n/e","n/e","n/e","8340","8834","8774"
"11.03.2020 12:00 - 11.03.2020 13:00","4394","4738","4787","n/e","n/e","n/e","8183","8800","8748"
"11.03.2020 13:00 - 11.03.2020 14:00","4224","4621","4663","n/e","n/e","n/e","7759","8426","8379"
"11.03.2020 14:00 - 11.03.2020 15:00","3784","4047","4050","n/e","n/e","n/e","7334","8052","8012"
"11.03.2020 15:00 - 11.03.2020 16:00","2799","2998","3087","n/e","n/e","n/e","6914","7680","7648"
"11.03.2020 16:00 - 11.03.2020 17:00","1513","1571","1630","n/e","n/e","n/e","6559","7784","7753"
"11.03.2020 17:00 - 11.03.2020 18:00","281","291","301","n/e","n/e","n/e","6204","7887","7859"
"11.03.2020 18:00 - 11.03.2020 19:00","0","0","0","n/e","n/e","n/e","5849","7993","7967"
"11.03.2020 19:00 - 11.03.2020 20:00","0","0","0","n/e","n/e","n/e","6650","8597","8574"
"11.03.2020 20:00 - 11.03.2020 21:00","0","0","0","n/e","n/e","n/e","7451","9204","9180"
"11.03.2020 21:00 - 11.03.2020 22:00","0","0","0","n/e","n/e","n/e","8251","9811","9786"
"11.03.2020 22:00 - 11.03.2020 23:00","0","0","0","n/e","n/e","n/e","8442","9937","9913"
"11.03.2020 23:00 - 12.03.2020 00:00","0","N/A","0","n/e","n/e","n/e","9809","N/A","10027"
"12.03.2020 00:00 - 12.03.2020 01:00","0","N/A","0","n/e","n/e","n/e","9910","N/A","10086"
"12.03.2020 01:00 - 12.03.2020 02:00","0","N/A","0","n/e","n/e","n/e","9752","N/A","9863"
"12.03.2020 02:00 - 12.03.2020 03:00","0","N/A","0","n/e","n/e","n/e","9596","N/A","9641"
"12.03.2020 03:00 - 12.03.2020 04:00","0","N/A","0","n/e","n/e","n/e","9440","N/A","9422"
"12.03.2020 04:00 - 12.03.2020 05:00","0","N/A","0","n/e","n/e","n/e","8898","N/A","9090"
"12.03.2020 05:00 - 12.03.2020 06:00","0","N/A","0","n/e","n/e","n/e","8357","N/A","8758"
"12.03.2020 06:00 - 12.03.2020 07:00","4","4","4","n/e","n/e","n/e","7815","8730","8730"
"12.03.2020 07:00 - 12.03.2020 08:00","508","525","525","n/e","n/e","n/e","7259","7882","7882"
"12.03.2020 08:00 - 12.03.2020 09:00","1666","1646","1646","n/e","n/e","n/e","6701","7038","7038"
"12.03.2020 09:00 - 12.03.2020 10:00","2530","2597","2328","n/e","n/e","n/e","6144","6201","5806"
"12.03.2020 10:00 - 12.03.2020 11:00","3300","3274","3082","n/e","n/e","n/e","6818","6452","6143"
"12.03.2020 11:00 - 12.03.2020 12:00","3571","3689","3484","n/e","n/e","n/e","7492","6703","6449"
"12.03.2020 12:00 - 12.03.2020 13:00","3750","3758","3682","n/e","n/e","n/e","8166","6955","6742"
"12.03.2020 13:00 - 12.03.2020 14:00","3558","3515","3529","n/e","n/e","n/e","8088","7373","7191"
"12.03.2020 14:00 - 12.03.2020 15:00","2993","3052","3047","n/e","n/e","n/e","8011","7791","7635"
"12.03.2020 15:00 - 12.03.2020 16:00","2140","2185","2231","n/e","n/e","n/e","7933","8209","8073"
"12.03.2020 16:00 - 12.03.2020 17:00","1132","1120","1147","n/e","n/e","n/e","7416","7849","7728"
"12.03.2020 17:00 - 12.03.2020 18:00","220","237","228","n/e","n/e","n/e","6899","7488","7377"
"12.03.2020 18:00 - 12.03.2020 19:00","0","0","0","n/e","n/e","n/e","6384","7127","7024"
"12.03.2020 19:00 - 12.03.2020 20:00","0","0","0","n/e","n/e","n/e","6539","7070","6973"
"12.03.2020 20:00 - 12.03.2020 21:00","0","0","0","n/e","n/e","n/e","6695","7013","6922"
"12.03.2020 21:00 - 12.03.2020 22:00","0","0","0","n/e","n/e","n/e","6852","6956","6869"
"12.03.2020 22:00 - 12.03.2020 23:00","0","0","0","n/e","n/e","n/e","7132","7081","6997"
"12.03.2020 23:00 - 13.03.2020 00:00","0","N/A","0","n/e","n/e","n/e","7248","N/A","7114"
"13.03.2020 00:00 - 13.03.2020 01:00","0","N/A","0","n/e","n/e","n/e","7345","N/A","7169"
"13.03.2020 01:00 - 13.03.2020 02:00","0","N/A","0","n/e","n/e","n/e","7255","N/A","7000"
"13.03.2020 02:00 - 13.03.2020 03:00","0","N/A","0","n/e","n/e","n/e","7166","N/A","6834"
"13.03.2020 03:00 - 13.03.2020 04:00","0","N/A","0","n/e","n/e","n/e","7077","N/A","6669"
"13.03.2020 04:00 - 13.03.2020 05:00","0","N/A","0","n/e","n/e","n/e","6833","N/A","6404"
"13.03.2020 05:00 - 13.03.2020 06:00","0","N/A","0","n/e","n/e","n/e","6588","N/A","6139"
"13.03.2020 06:00 - 13.03.2020 07:00","6","6","6","n/e","n/e","n/e","6345","5833","5833"
"13.03.2020 07:00 - 13.03.2020 08:00","633","632","632","n/e","n/e","n/e","5965","5446","5446"
"13.03.2020 08:00 - 13.03.2020 09:00","2167","2217","2217","n/e","n/e","n/e","5586","5086","5086"
"13.03.2020 09:00 - 13.03.2020 10:00","3735","3791","3690","n/e","n/e","n/e","5207","4741","4702"
"13.03.2020 10:00 - 13.03.2020 11:00","4804","4873","4694","n/e","n/e","n/e","5057","4481","4437"
"13.03.2020 11:00 - 13.03.2020 12:00","5356","5428","5102","n/e","n/e","n/e","4906","4228","4185"
"13.03.2020 12:00 - 13.03.2020 13:00","5385","5547","5246","n/e","n/e","n/e","4756","3979","3937"
"13.03.2020 13:00 - 13.03.2020 14:00","4988","5040","4715","n/e","n/e","n/e","4446","3800","3761"
"13.03.2020 14:00 - 13.03.2020 15:00","4126","4160","3936","n/e","n/e","n/e","4136","3624","3585"
"13.03.2020 15:00 - 13.03.2020 16:00","2905","2928","2882","n/e","n/e","n/e","3826","3450","3411"
